kappa,tau_stdp,tau_sr,asymm,frac,R2,skill,area,L2
0.1,0.02,3.0,0.99,0.7,0.67502,-3.52675,0.54218,0.52361
0.5,0.03,3.0,0.95,0.7,0.77365,-2.57707,0.3976,0.41379
0.05,0.02,4.0,0.9,0.6,0.83921,-1.96927,0.36716,0.33514
0.1,0.03,3.0,0.95,0.6,0.95555,-0.59863,0.21855,0.1849
0.1,0.02,5.0,0.95,0.7,0.91143,-1.18281,0.27012,0.24087
1.0,0.02,3.0,0.9,0.5,0.84023,-1.91407,0.34877,0.33709
0.05,0.025,5.0,0.99,0.5,0.78057,-3.15362,0.48458,0.45839
1.0,0.025,5.0,0.9,0.6,0.80645,-2.58822,0.43404,0.39607
0.01,0.02,4.0,0.9,0.6,0.83273,-2.14124,0.37412,0.35469
0.5,0.025,4.0,0.99,0.7,0.31305,-7.18177,0.8057,0.92337
0.1,0.03,5.0,0.9,0.6,0.86354,-1.65533,0.34011,0.29313
0.5,0.02,5.0,0.99,0.7,0.31766,-7.37893,0.82097,0.92489
0.05,0.02,5.0,0.9,0.7,0.79591,-2.37086,0.42038,0.37217
0.1,0.03,3.0,0.9,0.7,0.90492,-1.50688,0.284,0.28996
0.05,0.03,3.0,0.99,0.7,0.58419,-4.73206,0.71169,0.66284
0.1,0.03,4.0,0.95,0.6,0.96238,-0.44404,0.18014,0.16297
0.1,0.03,5.0,0.9,0.5,0.85561,-1.80591,0.34936,0.3097
0.05,0.02,4.0,0.95,0.5,0.89506,-1.43563,0.28424,0.27503
0.01,0.025,4.0,0.9,0.5,0.84611,-2.02117,0.35879,0.34087
0.1,0.03,4.0,0.99,0.6,0.65887,-4.19376,0.61172,0.58621
0.5,0.02,5.0,0.99,0.5,0.42019,-6.78385,0.75177,0.8593
0.1,0.025,5.0,0.95,0.7,0.92874,-0.91285,0.24075,0.21117
0.5,0.03,3.0,0.95,0.6,0.82899,-2.05952,0.35635,0.35379
0.1,0.025,5.0,0.9,0.6,0.82984,-1.97061,0.3765,0.32799
0.01,0.025,4.0,0.9,0.6,0.84827,-2.0161,0.35473,0.34039
0.1,0.03,3.0,0.95,0.5,0.96076,-0.5054,0.20365,0.17405
0.5,0.03,5.0,0.9,0.7,0.92548,-0.97891,0.2641,0.21851
0.1,0.025,5.0,0.9,0.7,0.83774,-1.94908,0.36907,0.32557
1.0,0.03,3.0,0.99,0.6,0.21871,-8.0607,0.89039,1.04822
